Year,Month,Day,country,country_txt,region,region_txt,provstate,city,latitude,longitude,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
2017,1,2,4,Afghanistan,6,South Asia,Logar,Mohammad Agha district,34.214801,69.098513,Bombing/Explosion,Police,Unknown,Explosives
2017,1,2,138,Myanmar,5,Southeast Asia,Rakhine,Ponnagyun,20.3335,93.003812,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Saladin,Shirqat,35.499439,43.234894,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Business,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Business,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Religious Figures/Institutions,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Saladin,Baiji,34.92485,43.491413,Unknown,Military,Islamic State of Iraq and the Levant (ISIL),Unknown
2017,1,2,95,Iraq,10,Middle East & North Africa,Diyala,Adhaim,34.275066,44.537865,Armed Assault,Terrorists/Non-State Militia,Unknown,Firearms
2017,1,2,95,Iraq,10,Middle East & North Africa,Diyala,Adhaim,34.275066,44.537865,Armed Assault,Terrorists/Non-State Militia,Unknown,Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Saladin,Samarra,34.208416,43.890713,Bombing/Explosion,Police,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,2,95,Iraq,10,Middle East & North Africa,Saladin,Samarra,34.208416,43.890713,Bombing/Explosion,Police,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,2,34,Burundi,11,Sub-Saharan Africa,Bujumbura Rural,Unknown,-3.509014,29.464359,Hostage Taking (Kidnapping),Violent Political Party,Unknown,Firearms
2017,1,2,4,Afghanistan,6,South Asia,Kapisa,Nijrab district,34.966667,69.566667,Assassination,Private Citizens & Property,Unknown,Explosives
2017,1,2,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,2.059819,45.326115,Unknown,Military,Al-Shabaab,Unknown
2017,1,2,4,Afghanistan,6,South Asia,Herat,Koshki Kohna district,34.87048,62.50668,Armed Assault,Military,Taliban,Firearms
2017,1,2,4,Afghanistan,6,South Asia,Zabul,Shahjoy district,32.519241,67.416481,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,2,6,Algeria,10,Middle East & North Africa,Blida,Mouzaia,36.466727,2.689879,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
2017,1,2,217,United States,1,North America,Illinois,Chicago,41.842602,-87.681229,Hostage Taking (Kidnapping),Private Citizens & Property,Anti-White extremists,Melee
2017,1,2,160,Philippines,5,Southeast Asia,Zamboanga Sibugay,Basalem,7.740712,123.076513,Assassination,Government (General),Unknown,Firearms
2017,1,2,92,India,6,South Asia,Tamil Nadu,Alangulam,8.864636,77.496008,Assassination,Government (General),Unknown,Firearms
2017,1,3,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,Bombing/Explosion,Government (General),Unknown,Explosives
2017,1,2,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,Unknown,Military,People's Liberation Army (India),Unknown
2017,1,2,123,Mali,11,Sub-Saharan Africa,Mopti,Boni,15.075,-2.221111,Armed Assault,Military,Unknown,Firearms
2017,1,2,95,Iraq,10,Middle East & North Africa,Saladin,Shirqat district,35.466624,43.238815,Unknown,Military,Islamic State of Iraq and the Levant (ISIL),Unknown
2017,1,3,228,Yemen,10,Middle East & North Africa,Abyan,Lawdar district,13.883333,45.866667,Armed Assault,Military,Al-Qaida in the Arabian Peninsula (AQAP),Firearms
2017,1,3,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Khazana,34.075466,71.599998,Armed Assault,Police,Khorasan Chapter of the Islamic State,Firearms
2017,1,3,113,Libya,10,Middle East & North Africa,Sirte,Unknown,31.164289,16.887761,Bombing/Explosion,Religious Figures/Institutions,Tripoli Province of the Islamic State,Explosives
2017,1,3,153,Pakistan,6,South Asia,Balochistan,Kech district,25.530286,63.415847,Armed Assault,Business,Baloch Liberation Front (BLF),Firearms
2017,1,3,160,Philippines,5,Southeast Asia,Basilan,Unknown,6.741797,122.398145,Hijacking,Maritime,Abu Sayyaf Group (ASG),Firearms
2017,1,3,41,Central African Republic,11,Sub-Saharan Africa,Haut-Mbomou,Unknown,6.253713,25.473355,Unknown,Government (Diplomatic),Lord's Resistance Army (LRA),Unknown
2017,1,3,41,Central African Republic,11,Sub-Saharan Africa,Ouham-Pende,Bokaya,6.879722,15.554444,Armed Assault,Government (Diplomatic),Unknown,Firearms
2017,1,3,60,Egypt,10,Middle East & North Africa,Faiyum,Ibsheway,29.360998,30.68244,Armed Assault,Police,Hasam Movement,Firearms
2017,1,3,92,India,6,South Asia,Bihar,Salakhani,25.749567,86.006417,Assassination,Journalists & Media,Unknown,Firearms
2017,1,3,4,Afghanistan,6,South Asia,Balkh,Qadim,36.370146,66.891581,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives
2017,1,3,4,Afghanistan,6,South Asia,Kandahar,Arghandab district,31.65,65.65,Unarmed Assault,Police,Unknown,Chemical
2017,1,3,4,Afghanistan,6,South Asia,Kandahar,Kandahar,31.631083,65.742226,Armed Assault,Private Citizens & Property,Unknown,Firearms
2017,1,3,4,Afghanistan,6,South Asia,Herat,Shindand district,33.306127,62.156823,Bombing/Explosion,Unknown,Taliban,Explosives
2017,1,3,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Dar,10.890928,13.627589,Hostage Taking (Kidnapping),Private Citizens & Property,Boko Haram,Firearms
2017,1,3,95,Iraq,10,Middle East & North Africa,Al Anbar,Ramadi,33.409771,43.198972,Bombing/Explosion,Military,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,3,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,Bombing/Explosion,Military,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,3,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,Bombing/Explosion,Military,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,3,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,Unknown,Military,Islamic State of Iraq and the Levant (ISIL),Unknown
2017,1,3,92,India,6,South Asia,Jammu and Kashmir,Murran,33.86652,74.864548,Armed Assault,Police,Unknown,Firearms
2017,1,3,60,Egypt,10,Middle East & North Africa,Alexandria,Alexandria,31.200092,29.918739,Armed Assault,Business,Muslim extremists,Melee
2017,1,3,110,Lebanon,10,Middle East & North Africa,South,Ain al-Hilweh,33.542004,35.381153,Armed Assault,Private Citizens & Property,Unknown,Explosives
2017,1,3,92,India,6,South Asia,Jharkhand,Khelari,23.65,85,Bombing/Explosion,Business,Communist Party of India - Maoist (CPI-Maoist),Explosives
2017,1,3,153,Pakistan,6,South Asia,Balochistan,Phuleji,28.994965,68.348482,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,3,153,Pakistan,6,South Asia,Balochistan,Chattar,28.869226,68.334419,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,3,130,Mexico,1,North America,Coahuila,Saltillo,25.426636,-100.995363,Hostage Taking (Kidnapping),Religious Figures/Institutions,Unknown,Melee
2017,1,3,4,Afghanistan,6,South Asia,Badakhshan,Faizabad district,37.101709,70.555236,Unknown,Military,Taliban,Unknown
2017,1,2,4,Afghanistan,6,South Asia,Helmand,Bolan,31.589827,64.337952,Unknown,Police,Taliban,Unknown
2017,1,3,4,Afghanistan,6,South Asia,Takhar,Ishkamish district,36.420649,69.35927,Bombing/Explosion,Unknown,Taliban,Explosives
2017,1,4,113,Libya,10,Middle East & North Africa,Sirte,Sirte,31.203173,16.643446,Bombing/Explosion,Military,Tripoli Province of the Islamic State,Explosives
2017,1,4,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,Bombing/Explosion,Unknown,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,4,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,4,95,Iraq,10,Middle East & North Africa,Al Anbar,Wafa,33.426248,42.977081,Bombing/Explosion,Military,Unknown,Explosives
2017,1,4,153,Pakistan,6,South Asia,Balochistan,Tahir Kot,28.923056,68.328611,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,4,153,Pakistan,6,South Asia,Balochistan,Chattar,28.869226,68.334419,Armed Assault,Utilities,Unknown,Explosives
2017,1,4,153,Pakistan,6,South Asia,Balochistan,Quetta,30.200819,66.994354,Armed Assault,Police,Unknown,Firearms
2017,1,4,160,Philippines,5,Southeast Asia,North Cotabato,Amas,7.065261,124.961053,Armed Assault,Police,Bangsamoro Islamic Freedom Movement (BIFM),Explosives
2017,1,4,37,Cameroon,11,Sub-Saharan Africa,Unknown,Unknown,,,Bombing/Explosion,Military,Unknown,Explosives
2017,1,4,95,Iraq,10,Middle East & North Africa,Saladin,Baiji,34.92485,43.491413,Bombing/Explosion,Military,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,4,4,Afghanistan,6,South Asia,Ghazni,Habib,33.326099,68.416649,Assassination,Government (General),Taliban,Firearms
2017,1,4,4,Afghanistan,6,South Asia,Parwan,Charikar,35.018158,69.168991,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
2017,1,4,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,2.059819,45.326115,Bombing/Explosion,Government (Diplomatic),Al-Shabaab,Explosives
2017,1,4,182,Somalia,11,Sub-Saharan Africa,Middle Shebelle,Mirrtaqwa,2.925025,45.903969,Armed Assault,Military,Al-Shabaab,Explosives
2017,1,4,65,Ethiopia,11,Sub-Saharan Africa,Amhara,Bahir Dar,11.592294,37.3826,Bombing/Explosion,Business,Unknown,Explosives
2017,1,4,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Dera Ismail Khan,31.834328,70.90905,Bombing/Explosion,Police,Unknown,Explosives
2017,1,4,153,Pakistan,6,South Asia,Sindh,Karachi,24.891115,67.143311,Armed Assault,Police,Al-Qaida in the Indian Subcontinent,Firearms
2017,1,4,153,Pakistan,6,South Asia,Sindh,Karachi,24.891115,67.143311,Armed Assault,Business,Unknown,Firearms
2017,1,4,92,India,6,South Asia,Madhya Pradesh,Jabalpur,23.166667,79.933333,Assassination,Private Citizens & Property,Unknown,Firearms
2017,1,4,110,Lebanon,10,Middle East & North Africa,North,Bzal,34.468799,36.041834,Bombing/Explosion,Government (General),Unknown,Explosives
2017,1,4,123,Mali,11,Sub-Saharan Africa,Gao,Gao,16.263981,-0.027987,Armed Assault,NGO,Unknown,Firearms
2017,1,4,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Bakin Dutse,10.842934,13.483585,Bombing/Explosion,Private Citizens & Property,Boko Haram,Explosives
2017,1,4,147,Nigeria,11,Sub-Saharan Africa,Borno,Gwoza district,11.089722,13.688377,Bombing/Explosion,Military,Unknown,Explosives
2017,1,4,95,Iraq,10,Middle East & North Africa,Diyala,Khanasah,33.043201,44.641945,Bombing/Explosion,Business,Unknown,Explosives
2017,1,4,95,Iraq,10,Middle East & North Africa,Al Anbar,Radhwaniyah,33.185299,44.26778,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
2017,1,4,4,Afghanistan,6,South Asia,Ghazni,Ghazni,33.542622,68.415329,Armed Assault,Police,Unknown,Firearms
2017,1,4,138,Myanmar,5,Southeast Asia,Kayin,Hlaingbwe,17.474068,97.802248,Bombing/Explosion,Military,Democratic Karen Buddhist Army (DKBA),Explosives
2017,1,4,92,India,6,South Asia,Jharkhand,Patehl,23.369968,85.325012,Hostage Taking (Kidnapping),Private Citizens & Property,Maoists,Firearms
2017,1,4,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,Bombing/Explosion,NGO,Unknown,Explosives
2017,1,4,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,Facility/Infrastructure Attack,Business,Unknown,Incendiary
2017,1,4,107,Kyrgyzstan,7,Central Asia,Bishkek,Bishkek,42.874722,74.612222,Bombing/Explosion,Business,Unknown,Explosives
2017,1,4,195,Sudan,11,Sub-Saharan Africa,North Darfur,Tabit,13.314837,25.088934,Facility/Infrastructure Attack,Private Citizens & Property,Unknown,Unknown
2017,1,4,200,Syria,10,Middle East & North Africa,Homs,Tiyas,34.520279,37.630001,Unknown,Military,Islamic State of Iraq and the Levant (ISIL),Unknown
2017,1,4,123,Mali,11,Sub-Saharan Africa,Mopti,Boni,15.075623,-2.219977,Hostage Taking (Kidnapping),Government (General),Muslim extremists,Unknown
2017,1,4,147,Nigeria,11,Sub-Saharan Africa,Delta,Abraka,5.788824,6.100338,Armed Assault,Private Citizens & Property,Fulani extremists,Melee
2017,1,4,147,Nigeria,11,Sub-Saharan Africa,Delta,Obiaruku,5.838492,6.158714,Armed Assault,Private Citizens & Property,Fulani extremists,Melee
2017,1,5,113,Libya,10,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,Bombing/Explosion,Military,Barqa Province of the Islamic State,Explosives
2017,1,5,153,Pakistan,6,South Asia,Balochistan,Saranan,30.585,66.8725,Assassination,Private Citizens & Property,Unknown,Firearms
2017,1,5,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,5,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,5,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,5,95,Iraq,10,Middle East & North Africa,Saladin,Alam,34.705948,43.697075,Assassination,Military,Unknown,Explosives
2017,1,2,4,Afghanistan,6,South Asia,Helmand,Nawa-i-Barakzayi district,31.429741,64.303745,Armed Assault,Police,Taliban,Firearms
2017,1,5,209,Turkey,10,Middle East & North Africa,Izmir,Izmir,38.478577,27.139976,Bombing/Explosion,Government (General),Kurdistan Freedom Hawks (TAK),Explosives
2017,1,5,4,Afghanistan,6,South Asia,Faryab,Qaysar,35.687365,64.293428,Assassination,Police,Taliban,Explosives
2017,1,5,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,34.417122,70.449593,Bombing/Explosion,Private Citizens & Property,Khorasan Chapter of the Islamic State,Explosives
2017,1,5,228,Yemen,10,Middle East & North Africa,Taizz,Al-Jin,12.725161,43.494482,Bombing/Explosion,Military,Houthi extremists (Ansar Allah),Explosives
2017,1,5,200,Syria,10,Middle East & North Africa,Lattakia,Jableh,35.361572,35.927155,Bombing/Explosion,Business,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,5,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,5,4,Afghanistan,6,South Asia,Baghlan,Khwajah Khan,36.157001,68.720306,Assassination,Violent Political Party,Unknown,Firearms
2017,1,5,92,India,6,South Asia,Jammu and Kashmir,Chitragam,33.802216,74.940395,Armed Assault,Government (General),Unknown,Firearms
2017,1,5,4,Afghanistan,6,South Asia,Herat,Maldar,33.890556,62.406389,Bombing/Explosion,Military,Taliban,Explosives
2017,1,5,160,Philippines,5,Southeast Asia,Sarangani,Nalus,6.012985,124.593255,Facility/Infrastructure Attack,Transportation,New People's Army (NPA),Firearms
2017,1,5,4,Afghanistan,6,South Asia,Nimroz,Unknown,31.026149,62.450415,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,5,92,India,6,South Asia,Maharashtra,Kehakavi,20.273183,80.307383,Unknown,Violent Political Party,Communist Party of India - Maoist (CPI-Maoist),Unknown
2017,1,5,1001,Serbia,9,Eastern Europe,Belgrade,Belgrade,44.786568,20.448922,Unknown,Journalists & Media,Unknown,Unknown
2017,1,5,198,Sweden,8,Western Europe,Vastra Gotaland,Gothenburg,57.652828,11.910749,Bombing/Explosion,Private Citizens & Property,Nordic Resistance Movement,Explosives
2017,1,5,205,Thailand,5,Southeast Asia,Yala,Yala,6.545499,101.2799,Armed Assault,Educational Institution,Unknown,Firearms
2017,1,5,182,Somalia,11,Sub-Saharan Africa,Middle Shebelle,Mahaday,2.973305,45.535603,Bombing/Explosion,Military,Unknown,Explosives
2017,1,6,228,Yemen,10,Middle East & North Africa,Amanat Al Asimah,Sanaa,15.325443,44.211895,Hostage Taking (Barricade Incident),Private Citizens & Property,Houthi extremists (Ansar Allah),Firearms
2017,1,6,153,Pakistan,6,South Asia,Balochistan,Bal,25.831427,62.259736,Armed Assault,Private Citizens & Property,Baloch Liberation Front (BLF),Firearms
2017,1,6,153,Pakistan,6,South Asia,Balochistan,Dera Bugti,29.034412,69.158661,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,6,153,Pakistan,6,South Asia,Balochistan,Patkhu,28.923449,69.001649,Bombing/Explosion,Unknown,Unknown,Explosives
2017,1,6,153,Pakistan,6,South Asia,Balochistan,Quetta,30.200819,66.994354,Armed Assault,Private Citizens & Property,Lashkar-e-Jhangvi,Firearms
2017,1,6,95,Iraq,10,Middle East & North Africa,Saladin,Dawr,34.458889,43.791004,Armed Assault,Police,Islamic State of Iraq and the Levant (ISIL),Firearms
2017,1,6,4,Afghanistan,6,South Asia,Baghlan,Tala Wa Barfak district,35.392248,68.222884,Armed Assault,Business,Khorasan Chapter of the Islamic State,Firearms
2017,1,6,182,Somalia,11,Sub-Saharan Africa,Lower Shebelle,Awdheegle,1.978939,44.832062,Unknown,Private Citizens & Property,Al-Shabaab,Unknown
2017,1,6,94,Iran,10,Middle East & North Africa,Sistan and Baluchestan,Jakigour,26.128364,61.517983,Armed Assault,Military,Jaish al-Adl,Firearms
2017,1,6,92,India,6,South Asia,Manipur,Nongkham Gamnon,24.383792,94.148177,Assassination,Government (General),Unknown,Firearms
2017,1,6,153,Pakistan,6,South Asia,Sindh,Karachi,24.891115,67.143311,Bombing/Explosion,Police,Al-Qaida in the Indian Subcontinent,Explosives
2017,1,6,217,United States,1,North America,Florida,Fort Lauderdale,26.071231,-80.145668,Armed Assault,Airports & Aircraft,Jihadi-inspired extremists,Firearms
2017,1,6,195,Sudan,11,Sub-Saharan Africa,North Darfur,Keyo,13.400089,24.309717,Hostage Taking (Kidnapping),Private Citizens & Property,Janjaweed,Firearms
2017,1,6,182,Somalia,11,Sub-Saharan Africa,Lower Shebelle,Barawe,1.114228,44.028706,Bombing/Explosion,Military,Unknown,Explosives
2017,1,6,95,Iraq,10,Middle East & North Africa,Saladin,Dawr,34.458889,43.791004,Bombing/Explosion,Military,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,6,95,Iraq,10,Middle East & North Africa,Al Anbar,Hadithah,34.160587,42.37254,Bombing/Explosion,Military,Islamic State of Iraq and the Levant (ISIL),Explosives
2017,1,6,69,France,8,Western Europe,Auvergne-Rhone-Alpes,Saint-Etienne,45.441025,4.384553,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
2017,1,6,160,Philippines,5,Southeast Asia,Batangas,San Juan district,13.750444,121.377034,Assassination,Government (General),Unknown,Firearms
2017,1,6,160,Philippines,5,Southeast Asia,Masbate,Luy-a,12.407778,123.405833,Armed Assault,Private Citizens & Property,Unknown,Firearms
2017,1,6,153,Pakistan,6,South Asia,Sindh,Karachi,24.891115,67.143311,Armed Assault,Police,Al-Qaida in the Indian Subcontinent,Firearms
2017,1,6,4,Afghanistan,6,South Asia,Nangarhar,Fatehabad,34.357222,70.238889,Armed Assault,Police,Taliban,Firearms
2017,1,6,60,Egypt,10,Middle East & North Africa,North Sinai,Hasna,30.4653,33.785694,Armed Assault,Military,Sinai Province of the Islamic State,Explosives
2017,1,6,60,Egypt,10,Middle East & North Africa,South Sinai,Taba,29.492478,34.896899,Armed Assault,Military,Sinai Province of the Islamic State,Explosives
2017,1,6,60,Egypt,10,Middle East & North Africa,North Sinai,Al-Malha,30.8775,34.381944,Bombing/Explosion,Military,Sinai Province of the Islamic State,Explosives
2017,1,6,182,Somalia,11,Sub-Saharan Africa,Middle Shebelle,Mahaday,2.973305,45.535603,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
2017,1,6,123,Mali,11,Sub-Saharan Africa,Mopti,Boni,15.075,-2.221111,Unknown,Military,Unknown,Unknown
2017,1,6,153,Pakistan,6,South Asia,Balochistan,Sariab,30.084515,66.983437,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,Firearms
2017,1,6,130,Mexico,1,North America,Jalisco,Guadalajara,20.673231,-103.366859,Assassination,Government (Diplomatic),Unknown,Firearms
2017,1,6,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,Armed Assault,Private Citizens & Property,Unknown,Firearms
2017,1,7,153,Pakistan,6,South Asia,Balochistan,Quetta,30.200819,66.994354,Armed Assault,Police,Khorasan Chapter of the Islamic State,Firearms
2017,1,7,228,Yemen,10,Middle East & North Africa,Abyan,Wadea district,13.713333,46.011944,Bombing/Explosion,Military,Unknown,Explosives
